sample,Control_115,Control_130,Control_132,Control_133,Control_136,Control_53,Control_61,Control_62,Control_64,Control_68,Control_69,Control_70,Control_71,Control_72,Control_73,CKD_105,CKD_106,CKD_108,CKD_110,CKD_112,CKD_124,CKD_125,CKD_126,CKD_128,CKD_129,CKD_63,CKD_65,CKD_96,CKD_98,CKD_99
class,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD
437.239/17.7,5526.420525,134321.1313,159432.7854,144535.9913,37851.83847,241725.8019,193402.6117,292964.8644,283754.6671,38662.82537,475696.372,233504.1038,622563.1709,290908.2661,2222367.626,473563.8459,1506947.951,1702113.215,2456828.463,68624.62528,1377200.598,102731.7013,996591.8151,144798.5803,390709.5146,1029761.338,164769.751,501058.4901,1018438.629,286458.1385
333.075/9,422338.3488,440855.3696,276808.009,294052.5969,125729.0483,1036607.181,691476.3272,650496.9867,164950.5022,428653.3848,679531.7142,370854.0588,367482.9878,196353.6518,491647.116,638702.1606,1410109.973,553041.4308,386434.1374,277172.9901,925054.9745,280584.7581,682579.6934,600428.576,882815.5098,495166.273,416385.0169,753667.3023,1874216.726,345528.3323
258.17/11.9,364060.9975,939493.6228,847576.4049,1193840.692,385576.0488,1480601.173,568363.5879,1778903.198,508652.7999,784672.8902,1654326.586,528467.1999,520527.2961,759220.5822,332232.6865,759434.7351,1948716.435,985781.007,1583320.389,911292.7142,1223764.642,357177.1396,2345316.558,1564247.545,1279093.552,1528587.063,594432.0184,2798495.063,840590.4656,414889.6587
351.211/13.5,39399.93052,85808.14457,5263.724552,105245.9378,98184.53051,165833.0425,211314.8041,479691.2463,10000,26572.4044,300805.6295,77844.5786,85970.06281,16462.63204,22516.76372,538489.0608,153615.8514,4800649.645,327139.1605,3377815.527,365369.8531,664245.3066,24123642.05,90998.22097,7919482.277,2175308.107,125099.5877,2892982.192,471124.9309,2416684.445
244.138/11.7,114108.7197,1044062.141,402050.9067,629072.3202,240831.4868,4251663.175,863633.8966,1120172.258,1286462.435,925187.816,1217326.727,401728.1354,453875.8852,336862.8988,320849.4607,1186198.738,2950356.099,4068238.508,1297410.35,679394.809,3193521.513,716864.724,6079374.902,1203339.67,2088703.378,3719634.468,6763625.28,27743719.43,5420578.068,286987.9149
147.047/3.5,129733.0975,382933.8257,222219.697,271754.216,160540.6985,1439949.322,826162.9366,558404.5532,196014.6123,593325.6949,629772.3533,186667.0331,1002775.407,116487.554,261767.6603,177805.3265,668479.1272,2346793.611,575080.4222,272104.0001,740192.6477,258910.4766,1000772.817,1381048.258,798684.1505,404310.6522,1029958.371,3144628.019,1020999.819,205171.4587
304.176/9,768076.125,2335262.288,1353937.099,1821603.162,619238.691,4083565.652,1992989.671,3716799.122,1813543.122,1605239.98,2648943.765,964184.3128,2257755.04,654643.1214,1556579.207,2293411.934,5879793.391,4738804.965,1108961.615,1805589.087,3001893.712,1291020.134,6377911.244,1252203.755,2608632.619,2275408.299,1313565.402,3357186.85,6742621.227,1273173.091
195.077/8.1,2722466.91,4681414.358,2118823.183,5615314.408,1347513.044,13771620.81,15855103.29,17864117.61,2264995.358,5719305.452,9776666.609,5394684.37,5218007.807,3083885.929,4256251.55,3625108.861,28744338.49,21982756.86,9972739.932,6918530.547,12569003.57,3720858.832,16170175.93,6929205.295,15967746.22,7428868.337,2317883.454,6795604.871,33579723.58,5789316.105
213.019/2.1,2833295.176,4565671.141,2689250.115,5506672.041,2417553.776,1932296.613,5749463.679,2201492.32,3581367.283,1495115.229,3188448.025,1316346.683,2577481.661,1779976.16,2394853.845,485040.9406,668989.1285,527257.516,6323900.307,180377.8437,6015276.371,4325078.174,607300.0338,788547.4149,588243.6501,283619.8447,1703205.313,338196.0575,2003194.386,248316.1669
192.075/2.3,390991.1693,404494.4167,751224.6014,710847.4384,371627.4507,590592.9832,394397.707,1076354.037,257083.6597,326072.2367,439583.4133,106631.3916,448738.2571,318376.6052,304318.7455,470053.3504,581711.1499,398252.1988,620712.3961,750996.1807,2106179.503,199866.5577,1389788.65,652232.8014,870440.4226,614280.7149,431210.343,754051.8356,668333.3761,400117.9761
273.222/18.3,416504.4211,2179912.459,1083521.717,1308208.908,428197.8172,1657253.666,2409185.664,786157.6041,433473.9078,396971.9628,1390062.707,370925.2361,531188.8052,437556.7574,781435.8842,679977.1019,516220.4978,499828.1594,1232628.219,454350.6219,747202.1094,318117.3446,1295714.3,506560.7101,635797.6821,431835.6386,90122.52688,468152.4217,758814.3233,197612.3726
274.119/7.7,371912.3268,661494.0346,121727.7128,1442243.915,248332.872,1395591.814,2634554.637,1885146.352,91603.81902,929076.1172,358183.8588,299582.5664,541472.2578,250508.8366,265990.7345,544005.4458,4149582.175,695865.8644,2190428.847,2221730.586,1101223.716,333991.6091,2166706.185,566890.6192,2041625.161,664215.7618,18840.09545,1314281.127,1744381.359,1480743.166
285.083/3.6,296634.7176,651426.1356,623489.5938,953830.4408,311695.1429,1964994.422,1229427.016,1497656.859,393359.6209,595480.427,1031944.952,473292.1853,1236149.078,405162.5642,1074056.225,139363.2217,1803022.29,495799.1699,1052266.742,333306.5678,1137789.821,537026.2002,6620758.651,10186141.81,19393406.57,1657389.707,611657.434,724195.061,15817025.06,523312.4496
238.842/2.4,529266.2388,1495556.994,10000,889078.7849,1325123.198,1043972.577,2102981.38,900936.706,728657.2653,1381918.808,1907993.891,10000,2562018.055,1027342.557,676286.3161,306068.0398,1036702.49,612084.1161,64682.96279,245781.087,358512.2618,530134.2441,1270713.784,524988.3766,1189319.022,601490.5159,924092.3608,1738347.701,127351.0725,584655.5763
133.105/3.5,1973787.438,1973019.702,1435777.665,632011.7905,1172803.979,1428679.946,2973033.506,2492549.598,1092468.212,2174501.439,3035098.117,862557.9274,1097546.798,553580.3702,726388.7934,944242.7493,2138253.104,3647582.669,1449987.729,2057620.422,4089486.877,641356.0246,3148653.937,1505090.124,8121994.999,5861503.151,1022496.286,2709014.866,1854420.8,1272154.763
303.101/11.8,202462.3947,754189.2342,490188.7975,522616.1291,720760.5212,1195655.869,944624.9846,763831.3251,445367.2275,439316.9644,1175634.984,481754.1049,659904.9355,453906.5677,597813.901,476002.662,1391862.459,1293124.128,684928.5165,361592.168,752219.1967,379200.7102,1321338.421,565281.214,1659084.969,1630085.434,481451.0351,1144529.701,1674534.567,414175.7785
251.128/18.2,1672004.595,3489459.239,750582.9257,1664270.558,1086210.395,6748002.038,6779389.215,2963665.875,992813.7012,1713455.862,4577880.208,2265086.738,2246599.847,1683632.206,1928578.555,505639.6032,6064648.482,4013524.822,5382317.848,1294742,5497545.852,2831701.435,5033151.249,7848789.875,2804728.589,2054741.283,3051599.861,4745374.674,12737886.33,3332833.07
114.893/2.4,824609.3288,1090875.886,89038.73578,635108.9287,1807088.716,2174082.568,3075574.111,681710.248,657050.6297,2905577.878,2086313.394,333944.1111,4801709.218,1023089.641,4170328.956,445951.8343,1200849.375,1925546.591,440771.8876,409502.0335,518988.7214,2626524.673,1175411.869,554218.577,990750.9178,450007.624,735159.3201,1703970.687,715455.7742,556908.0586
178.059/2.3,183239.6229,1750302.908,1206627.506,627592.9121,337768.3152,380911.1941,1170072.686,2521152.796,329332.881,308713.1305,1783033.525,173408.1469,713777.568,520849.2641,208199.2273,435033.4563,939379.553,113547.4266,324851.0282,734997.1557,528784.578,134395.1859,486264.459,513293.3841,573777.1397,544418.2401,202754.3575,563578.3067,158318.8733,197459.1879
308.161/11.5,1169396.069,2716492.261,1549520.358,783745.8422,1467253.946,2716902.739,3109078.945,3351873.098,694541.2145,2842703.202,2560019.014,1404089.792,2148478.414,1917948.864,1221459.198,2091169.924,5975642.825,3059624.919,2961355.33,2922910.337,2024752.023,1671821.823,1174789.868,1824069.329,3312630.359,2709338.627,782524.3358,2780255.82,5437080.336,3242126.266
430.257/11.1,625475.0944,108127.7558,10000,14002.32073,60807.48892,165231.9193,31591.73885,6314.605074,124862.7402,10000,85398.22804,114891.8606,4505.463215,9861.71414,16661.21744,2675503.149,30772.98996,3899786.442,1121840.71,20967803.19,1152576.325,4466168.259,205922154.2,584177.837,125716090,26273300.03,1035598.845,47523316.51,780239.406,10515853.88
189.076/9.5,894317.3609,3964948.205,4578540.154,4648145.671,3045400.102,11031329.34,6812560.572,11508053.89,997942.8839,4334273.85,5693674.102,2297879.976,16074387.29,2144965.565,4499534.52,4164504.773,14410499.53,11090152.43,70302662.33,8189980.095,8039026.345,2772730.68,25116107.88,8520509.505,6638558.67,6892582.988,3308393.735,25879353.56,12847810.61,7408550.427
160.097/5.7,1432251.167,4209693.931,1274400.783,4151026.608,2321468.916,6090687.509,6056266.801,4742808.857,2538714.264,3441522.277,4765340.644,1946431.827,3451779.633,2274814.742,2785061.663,1086555.898,21999300.54,863076.5176,18467992.43,3720034.346,8751231.097,2382535.464,1852412.795,10965426.63,1691528.906,2859568.267,1330006.999,7871419.223,5192101.989,17623989.1
130.522/2.1,449228.1313,711396.4265,1694804.207,976133.2794,698157.356,2301469.276,911361.4743,2361867.346,318694.4157,910157.074,1798627.18,543013.8004,546123.0864,513762.2453,1025824.95,687976.0893,2122538.753,3652943.968,1110194.968,468337.1126,3720834.714,976639.0801,1916859.3,583064.618,3453201.142,1476472.543,1694919.953,2157072.534,937671.5509,570958.0443
262.038/3.4,2653045.207,5577458.909,4352691.136,7227184.538,1642142.451,12288689.62,3211507.483,5955144.652,3656666.827,7357208.434,7398323.578,5286721.962,3679797.93,4114600.411,4366699.555,6418043.639,10167049.4,6749230.622,3019783.896,3719850.121,10498268,4647995.429,7777861.675,5063002.421,10138931.98,8496840.242,5211812.974,5694364.338,14362699.64,6263632.652
430.006/11.1,713269.1151,69371.12229,10000,28334.31399,138193.5185,192828.1775,10000,10000,118410.479,10000,49442.7774,103544.4375,5371.231805,7419.710557,40265.35191,3172670.163,62780.94786,4352593.792,1183433.272,22008527.45,1285522.978,4767727.73,224145249.6,578368.2857,133443814.1,27767706.59,1138332.229,50070995.65,732488.4265,10951395.76
241.093/4.1,358560.0343,974759.6607,413229.4191,727948.6256,467581.6344,1351301.165,1734197.509,2157192.891,320337.7042,572425.8857,1122239.779,409696.9947,707069.5496,502069.8787,1282946.207,409422.1701,1186297.499,418290.1618,363806.2594,527194.336,744099.0834,445171.7318,317086.3567,731002.1153,501534.4329,378036.6066,693280.6564,637064.9537,847017.6402,411729.6328
374.091/9.3,10000,17851.15565,1537721.428,83438.64268,76042.03921,778852.9329,23140.91944,30030.09634,10158.91013,6870.041526,19456.72907,299247.0075,56381.3505,25983.37057,7427.037341,10000,93308.65763,4604662.077,8736895.561,367789.6749,3464246.99,10000,25393997.87,635926.8907,1621691.115,3381099.356,13256.4235,455860.143,583076.5456,3322830.614
464.192/16.9,1911571.403,2785724.1,108839.0576,2355133.758,540737.5999,2213288.56,326277.061,3093879.227,2408484.149,3919691.292,3905571.622,2588864.589,3498251.148,5655285.788,1748443.236,19580.02535,996262.5164,260425.8704,39634070.86,1129551.637,34233624.77,749331.2875,855160.1626,23713915.34,5861814.414,2812271.468,603235.167,431691.0675,28446950.33,5053910.051
230.186/8.1,5878905.492,8772398.859,7451869.553,9758707.194,4583704.508,16859849.95,18441754.15,21346946.34,6223042.181,7773183.091,22097739.12,7164087.278,6861016.614,5252323.046,9564514.879,4269925.69,11255947.72,12835257.04,16781377.79,3195686.165,20087730.21,6724312.939,27103541.18,19090073.95,30102148.73,12095415.73,18606790.29,12978928.6,20160156.68,13632679.84
252.132/18.1,225147.1025,386125.9485,70524.09638,210867.2632,126835.6405,895278.6484,863828.9571,313138.5698,126949.9335,220601.8732,637463.2827,298491.3681,284036.8453,240462.9709,235094.7924,41298.61533,808615.5957,535258.1623,654407.1788,136613.1154,749233.5185,362801.0803,620261.6722,1041511.734,332141.5932,274534.3526,385391.9359,609802.7982,1739408.263,414414.3455
351.203/11.5,1706599.869,2543977.838,1254410.278,460336.3948,1910350.094,1650164.74,3739858.361,2256521.04,1133230.374,4379968.199,2042751.368,1416492.948,1593143.506,3148320.528,1838501.133,2509916.336,5628594.346,3297360.496,3213102.799,3349770.685,2086303.001,1959147.695,142434.5615,1511284.969,3268521.246,4561803.939,359229.7801,4526747.277,6438295.408,3140189.649
430.508/11.1,298902.8142,17580.31056,10000,10000,46460.63146,83495.89517,10000,10000,63679.09917,6725.554438,10000,36318.73004,10000,10000,5386.334085,1411691.932,10000,2029985.886,537137.8149,10648167.59,634029.3595,2147363.267,111008966.2,280502.2141,64888481.88,13156482.95,453939.4629,24093542.16,441418.0522,5026984.061
278.124/9.5,280319.3586,275669.505,409736.0282,41568.58876,266788.0026,812271.4803,384588.0039,544886.9162,52372.14221,405484.8044,477774.8384,147387.7601,777524.2434,303943.6587,275085.0614,371693.3183,1009620.917,807404.4896,3782371.923,582038.5398,515876.5177,222640.4631,129403.9755,567300.4053,329474.3459,589597.6012,136871.8936,1890885.541,1283635.81,453506.1795
138.091/3.4,452659.7602,1708740.871,2084351.431,1593222.436,1501983.158,935421.4898,2061497.33,2913029.272,556530.5882,647622.403,1537692.727,687031.128,835531.0893,854981.4575,637375.1552,395859.3996,975160.3214,948278.5129,581351.135,541403.1246,1278112.261,911171.7453,2049821.235,652233.9806,1236971.613,810248.3925,496503.4291,672196.5119,739751.6297,669438.2039
267.125/11.5,1657961.378,4490199.139,1538932.113,6358057.543,2210462.983,1172031.264,6474539.622,452919.867,1057241.172,4852075.763,2101442.727,1647048.452,3227772.736,1566232.85,1932607.031,3044621.143,9672178.393,4049436.246,5715772.628,5032532.23,4105066.592,2586387.586,5693020.534,2781355.344,4570042.441,3566390.42,364918.0266,4599640.516,466408.9849,6245830.209
271.165/16.8,562321.6794,590236.0032,864474.7126,882526.8504,671162.7012,5040166.506,1302082.042,1292951.228,1894507.009,2358808.535,1912710.818,511461.5905,671181.2848,1206129.95,539749.1311,963073.0376,5727238.645,2221493.568,3645171.535,748187.9862,6549632.102,1123237.562,2193180.11,1004561.134,1885531.772,2451057.565,2094534.171,18413941,5102634.48,686170.2551
164.074/3.6,1332878.883,4161851.236,3624641.935,3002552.826,1528743.414,15070322.31,8457515.317,7006342.235,1759435.6,6679287.406,7298550.547,2718937.908,8769747.115,2280910.897,2557328.717,1792886.767,7921101.374,11137473.17,7570287.221,3392353.875,7791627.982,2933328.577,11499961.12,13333916.83,9439508.635,4425231.44,6665335.475,26892095.62,10981797.64,3236469.106
465.195/16.9,454289.9325,733455.8133,83092.52969,708212.4579,148275.6346,505826.8236,285454.8237,665532.5171,570113.9997,942420.8456,931173.3393,618826.9602,790634.2716,1337732.418,421804.5711,417215.9587,270803.9576,227242.2869,6705542.917,220363.5316,8090995.261,212509.7377,312734.178,4019001.558,1249549.772,692956.1125,127974.1761,118136.1391,6867042.244,1169423.571
104.107/2.4,2706782.672,3961147.956,2616254.565,5796389.834,3291661.452,4140928.249,5985523.008,6297836.276,2522515.17,2586259.916,2676840.449,9225557.81,1211778.658,2943548.597,3271309.865,12010789.7,7703158.326,10691462.69,6475629.457,24430687.41,215535838.9,2181640.314,25815902.23,7837491.266,39296533.08,79171027.77,19202480.91,6522954.571,4253302.119,6609461.899
182.076/9,512350.5834,4805579.441,1448266.747,3049280.091,6541122.282,6839927.516,531670.4626,4656978.182,493730.4921,405777.7287,927082.4926,1492776.973,1227635.324,1146155.389,917452.1303,161497.637,633772.1702,941954.3839,1374064.127,406204.7119,902477.2514,3597140.146,2450893.831,2310303.152,943929.8333,766441.1186,374282.6928,532510.0065,1125996.805,527276.1604
167.056/3.7,2272922.53,12812932,10607532.78,84515561.23,57967071.15,28433751.31,18893854.8,54062672.32,3380753.038,18544343.56,15102898.58,3120007.938,12641865.44,6468962.177,26905182.66,5471616.89,43217925.59,1944380.505,4474215.46,3995547.116,3007154.712,7526509.056,35875009.05,14798644.21,18103419.6,5390252.941,5697497.363,3511808.328,4123574.762,3276469.668
322.077/3.2,1284648.251,4334864.465,4757698.238,6718444.515,2166731.695,4967840.013,6602038.565,5178261.616,2986576.691,2878482.185,5324958.315,5548188.078,4084682.659,2389005.188,4776412.651,680285.3459,3495332.276,2306446.576,924235.8329,932082.6301,10258034.65,2167533.996,1538318.018,5279040.408,2420806.225,1712621.211,1639050.055,3241190.602,4557431.849,1875326.461
338.087/13,515942.9622,3289198.051,682369.8687,2371680.867,360693.1663,2132062.756,2370171.93,1739182.191,341280.058,2941934.935,2138806.655,558540.1782,1015432.857,638633.4148,776078.5861,861037.8682,5853666.782,2889542.663,1773035.889,2609576.724,2169661.481,667979.4021,1452486.405,2316664.917,2992125.831,1766572.559,966017.8586,1699200.225,6433739.768,1476591.684
98.058/2.4,870253.1176,4360379.335,1468594.264,1745361.325,1248633.809,2386459.336,2293643.495,6333660.805,646603.9917,1243354.197,1865183.557,1163292.614,1789679.231,1593191.992,1227840.093,1774937.949,6914205.35,1667679.15,6901723,1562201.281,1188451.957,794349.678,4706907.89,1761876.516,10887106.13,3053891.55,779224.1016,4202021.972,4234133.626,2952496.892
359.124/11.5,6585735.417,109061019.8,71168730.92,29219277.38,44357605.53,316933781.1,9043797.174,105308291.9,11758702.89,3138539.88,34640021.15,16932558.4,74794731.25,11620207.73,5590514.562,15552556.85,28414142.06,44671400.36,10377627.21,7582917.929,16532939.22,25225717.13,18910063.66,33279796.9,21013698.65,2063189.032,3957336.909,1005982.964,13233734.23,12964076.2
302.124/13.4,2145313.265,1662219.65,99745.63488,5926308.642,2024821.065,8648866.964,5587917.978,5277061.525,275832.9753,7188614.527,369119.1009,1667133.211,691698.1878,417343.3019,1218218.385,3789934.464,8725956.09,1653723.307,1965945.799,11361281.48,7051995.384,1566276.785,9254061.687,2283686.807,7182751.43,5510182.863,109210.8774,3476434.557,6424527.254,3594350.23
191.103/3.5,1448252.982,2050945.219,1351564.57,3489494.975,993713.1846,8347657.333,3806171.41,3778544.166,988418.3202,3626318.967,2564651.25,2847635.978,3623190.038,1123438.428,1516915.749,1301140.585,810917.0273,1382943.46,562399.98,1089735.665,616146.0805,2503702.166,3552518.232,668057.7388,2041182.453,3427928.323,3633057.941,1272354.769,2417268.832,629442.175
130.05/11.5,3170692.859,18595.36129,511226.1888,10548948.26,173902.0578,11986568.55,9415965.704,9469851.547,2121014.692,6650201.969,3764544.241,3100632.547,4493092.527,2640304.478,3153399.631,4503308.594,17434135.53,327679.5606,8711763.025,7469743.164,6880606.746,4934438.117,10961471.87,5072216.395,9343155.054,6860924.179,889128.2939,9460723.792,8963986.861,9628739.155
118.061/2.4,2457965.975,7767577.606,16821341.82,5995402.748,6501214.372,13335746.41,14017881.16,15536375.24,3356308.692,2992121.126,12055544.71,10224894.57,2654558.075,4372557.842,3924454.89,12111565.6,2861859.258,15145017.36,24033339.64,20088699.46,7717566.099,710605.3264,26872597.3,3574669.3,37652617.79,24908936.3,16806141.08,2194344.901,11096392.79,3072632.375
234.134/9.5,1616082.471,5040822.953,6458135.251,8190636.279,4560289.902,16642320.06,9327134.227,15078482.96,1642711.462,6338926.909,7235467.286,5832958.548,20498534.76,1925357.866,6061333.875,5333978.168,16211550.65,12267837.43,55852662.13,12803006.08,9763029.409,3450935.04,29822499.09,11093110.52,6267244.028,10495759.9,4488652.045,23524542.39,11113908.1,7793208.411
274.184/18.2,597916.557,2198604.634,1567677.986,1605611.39,1218544.412,6302011.672,3940274.078,5967397.522,2529374.645,7696685.155,5992143.797,2110695.279,4613794.872,4957065.044,2108117.794,161489.8927,3831138.251,322180.7747,3744750.259,215575.5289,3935073.662,1426133.698,697359.1959,3387631.142,1026976.293,848876.1208,931063.6961,7980218.456,2747377.41,429064.2764
384.115/6.4,777890.3217,1757971.78,1289633.246,3020007.011,723223.1204,5472279.522,3575042.687,2830530.258,508461.8214,2025537.708,2561394.604,1290342.198,1709372.156,1238958.801,2044302.872,2254017.015,2894232.219,1694664.122,2731316.415,1220227.519,4473550.797,994917.1748,4434774.111,3069083.112,6249144.374,2252330.509,2013319.826,3717885.987,8134375.453,1381695.35
330.239/12.2,167097.7675,469202.767,202663.2162,275732.3632,99980.17441,1046569.427,332404.2087,884230.3396,117469.7496,610514.2152,1082488.345,214585.3673,313306.1603,192612.8296,244625.8186,1125367.301,1033403.827,746462.4622,423338.3407,677699.8045,986213.2024,429724.2693,555226.124,453938.2361,543589.1061,459416.7431,195889.1689,865433.3483,1995178.509,5673151.484
360.127/11.5,1145613.999,20364021.04,13236921.02,5375301.859,8004078.962,61887299.77,1670854.079,18642667.53,2130140.878,590596.5837,6339032.503,3044636.233,14016406.32,2048684.769,1010079.796,2748579.642,5291242.313,8059860.573,1844353.466,1440513.815,2979214.621,4544033.88,3402512.966,6135583.941,3714828.285,461728.5887,602953.3113,199128.0036,2348776.045,2323403.433
356.117/13,118260.1812,707879.6449,159015.0025,555899.684,47025.68383,473473.9851,588834.1317,395564.0289,72825.97555,861050.8146,622346.7364,137289.7601,233562.5001,135715.0811,193499.8419,208574.9183,1215800.535,588954.5374,376888.5471,574218.7676,1471395.911,150304.1361,289607.129,492658.927,611487.8518,500845.4292,230527.3458,332692.9139,1521908.516,353030.1809
276.192/4.8,334527.2683,307258.2665,343841.0191,2352924.086,129969.5483,1418913.255,1381574.011,1529390.79,161610.4858,988469.2074,1079320.416,2134097.244,1149563.165,280637.6509,279523.3432,142592.4981,896025.1027,239581.2161,210071.6235,466027.894,895841.1289,168124.6319,1815210.159,610529.5168,308313.8067,137690.4961,321489.4248,335684.6807,400466.5042,937964.585
162.055/13,1111857.469,6426227.086,2078135.941,4645815.001,1677927.461,5504912.97,4468233.061,3297483.692,1067654.017,3717904.216,3091066.037,1477801.315,2083940.363,1471364.16,1720277.647,2191315.02,11051683.83,5728088.429,3342719.155,4469497.449,3297215.368,2002975.132,3487142.431,3986120.762,5815545.309,2729004.344,1613907.224,3319280.285,8245763.951,3623156.015
394.171/14.1,89195.83896,323721.8476,206145.5989,376697.6922,98428.62769,1651305.489,488211.5703,1178481.05,122162.2573,848389.2538,1760557.647,352004.8131,379958.0114,270416.2032,167414.408,244103.3341,1140098.579,1296136.822,1292392.308,231008.9582,1295399.321,187686.836,1443422.371,747702.9293,858847.9877,1185988.432,327131.6295,1237753.918,3700327.887,288575.8446
206.102/9.5,834131.1487,3218823.598,3804995.439,3780242.262,2418459.599,11978511.88,7574033.787,11161031.53,752484.5548,6300400.701,8033160.329,2094630.245,15145645.89,1886216.352,3877969.417,4034862.246,12292626.45,8622852.645,63396523.65,8091396.622,9345611.942,2487388.076,20059429.83,8129710.254,4948561.45,8743110.57,2819429.037,20166509.52,12989518.35,6861528.483
117.594/2.1,73900.96547,373321.4042,428403.9959,581923.5932,86229.52536,1134757.694,583938.3288,668196.797,157927.782,406743.926,696432.3918,386879.3749,368091.1043,244206.4232,555135.9457,219126.6417,1348537.546,611062.3284,660300.4898,401675.8982,454756.9038,242717.3919,937245.4473,625544.1492,885603.106,526783.6774,446612.5651,1085624.46,2644441.847,328636.6713
295.129/10.5,288926.5397,1258628.206,648905.7167,1724084.878,589183.7762,546644.1416,3220599.085,345352.4436,663488.4427,412078.8973,2462515.179,1295601.678,773210.8392,602076.1444,989046.6143,2899842.35,1454670.121,1037003.402,1508201.351,1048678.314,2105421.577,1054354.649,1925616.198,2707995.534,2751139.917,1865111.191,1228784.639,1096014.921,503911.0627,477053.4516
98.919/2.4,1507535.631,4312117.512,131000.4251,2479970.813,2858434.888,2407804.48,4933310.825,3749415.244,3013534.671,2926211.214,5739245.61,55444.81124,5026745.397,3771969.098,1677897.23,1007395.901,3145389.856,1738395.989,423246.1715,795443.7549,1573848.268,1216461.938,2767388.567,1733444.772,3563653.669,1974144.637,4625155.688,3430054.132,476869.6092,1719966.386
264.135/11.6,426719.3104,4856195.846,3481080.992,352818.7463,2471227.853,3920499.019,493693.9055,2199591.861,555493.2274,343663.0787,1837613.268,721428.4031,2105839.941,898826.3624,352317.2158,1060487.853,1079068.713,2371840.686,520612.3613,489423.2938,796733.1346,1208605.938,778487.4214,1254044.327,1002998.9,498588.5286,718304.0289,301411.9019,1440146.078,603878.7772
259.093/3.2,845223.9283,1838875.233,1735555.058,1227589.32,1138729.836,1860667.803,1704378.135,1617373.227,363167.3466,607419.1046,887090.5502,1498965.606,835435.349,491869.3943,966422.7565,874096.0164,2903023.466,1289191.543,450091.482,994420.4925,1578307.021,1406168.192,5912307.073,1289840.417,2616923.215,742727.1143,2625205.08,1431984.658,2128123.85,1318230.641
316.133/4.4,148460.0684,452739.4741,176001.4528,55083.21465,636693.7299,1426946.479,396140.4239,460696.9914,6394.977864,10000,125810.1897,1235653.837,50858.17467,10000,12718.17998,32244.28558,532382.0438,1571028.649,2079396.216,378863.1829,1789647.933,1360420.885,910562.2231,276048.7209,12164342.11,1680278.668,182155.206,1088212.261,792454.3368,1304648.751
207.986/2.2,655889.3974,1073181.171,852448.9115,953666.3416,744690.3009,3241278.143,1036660.837,2482460.772,703677.1172,919961.9376,882543.7641,1092391.181,559996.514,502229.6748,576054.0767,509550.7936,1840053.124,4940619.129,2275902.614,409892.9742,1790262.295,1245113.964,2971991.056,744690.6685,4127752.499,1943146.343,839341.9908,818619.7242,1072123.502,1182349.314
199.988/1.9,2102432.968,2123468.153,3261503.441,2118840.883,2567203.339,2694039.378,2191789.282,2564330.683,2726909.744,7779004.161,4205048.854,2676055.921,2975187.065,5260236.368,2640603.767,2795701.356,3562899.444,2825992.21,1352773.514,1522964.221,1785510.858,1251216.573,2863164.941,1040188.344,2404136.619,3325991.788,3600587.669,3468819.049,2673509.938,1296045.293
114.032/2.4,730654.0783,1969748.245,2025387.723,2061539.974,800311.2666,3549189.116,2467951.873,2186966.662,548376.7193,1382015.373,2758280.257,1982682.678,2798946.551,817881.6172,2105068.269,1073018.761,4143750.363,3143278.323,9224470.283,1479455.556,867486.9201,1184205.769,2943275.974,2318494.455,4829140.091,2211663.332,937031.7708,3273020.916,10680329.43,1200225.218
96.922/2.4,5131524.221,13717389.75,398758.6234,7959462.561,10034772.17,8402683.216,15980124.12,12669196.34,10506205.55,9686772.401,18399174.76,190043.7059,16184651,12380288.78,5818161.395,3752446.642,10715738.54,5946105.381,1469361.941,2647711.025,5270201.167,4702033.77,9723415.692,6245812.04,11854729.66,6410477.221,14587238.51,11355157.96,1858286.02,5857264.069
223.108/11.5,544524.8816,3560995.856,2144497.685,587792.1832,1550849.424,5859399.38,774541.4068,2495633.68,655497.0871,926540.2896,1319990.403,545686.8023,1729897.683,784069.363,689170.6584,823373.6072,1727149.972,1511104.451,712149.6269,597615.4237,584843.8704,950851.2715,788001.8571,1070293.443,817030.2997,881663.9416,844161.8073,665677.8449,1075138.335,779556.2142
190.047/2.1,288463.0062,393180.4091,821030.6787,158669.0344,369566.5704,698217.1038,261217.7067,703536.3407,222434.1452,461485.2008,457536.6908,365520.062,383235.2874,379170.8081,464591.6319,470478.9449,886096.9767,1272152.74,621410.2213,469305.7881,345997.6381,434139.5522,50993.43345,379280.7634,579698.7942,640227.414,692031.8799,1045089.975,461769.0228,455087.9041
204.123/2.8,7521376.179,51464195.93,32036657.47,14012574.36,7649125.069,29971933.83,4223083.521,32925767.38,14747646.19,10577402.48,60235138.03,44018007.78,2570833.207,46691676.86,9411248.077,46248867.06,15380015.88,32602048.45,105099101.8,48946458.01,43136124.95,13197379.74,39968740.41,50592562.52,42091945.98,43820873.47,7312413.311,224214242.6,16316893.88,26871660.12
