sample,Control_115,Control_130,Control_132,Control_133,Control_136,Control_53,Control_61,Control_62,Control_64,Control_68,Control_69,Control_70,Control_71,Control_72,Control_73,CKD_105,CKD_106,CKD_108,CKD_110,CKD_112,CKD_124,CKD_125,CKD_126,CKD_128,CKD_129,CKD_63,CKD_65,CKD_96,CKD_98,CKD_99
class,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD
168.017/2.1,3110204.08,5188577.062,3079118.313,6379389.223,2829246.363,2252283.941,7857897.82,2514413.726,4456407.207,1726484.579,3804629.029,1602237.739,3072552.028,2408848.523,2933023.509,542129.9232,866354.3181,645720.7783,282623.7113,213065.2448,7125642.264,846958.2452,693591.4038,898008.0607,561252.4963,666648.3931,2129145.877,377396.1811,228818.9,315892.5595
239.967/2.1,5906265.532,10437084.86,10108835.69,15548899.07,6308051.606,8362786.633,16770862.54,10512999.1,6780102.718,5460924.756,12564081.33,2780182.688,5710420.703,4730955.183,7357703.457,1949411.866,3082671.267,3051139.207,515697.513,337525.1094,15490860.79,2873791.222,2266948.207,2214360.306,3036083.233,1172466.093,7975890.277,1593648.882,269762.5349,749145.3748
280.994/2.1,2321631.124,4304703.526,4168886.143,6100687.747,2404787.183,3507390.469,6921158.96,4215570.611,2696459.759,2144934.46,5297997.937,1083890.26,2127761.394,1891603.579,2810032.467,710632.0963,1235135.428,1288875.339,204817.0516,119712.3918,6189149.297,1161957.888,919970.2439,818817.4123,1261016.456,513682.2717,3140892.631,641571.3239,88684.14783,284310.8074
231.145/2.5,1869960.275,3373590.658,2389247.061,2156136.026,1051266.628,1869519.112,3588660.133,2319850.053,3000733.442,2989495.862,2852892.202,5426691.635,1480544.393,1888904.255,3694480.054,4412943.395,3030311.201,6613837.26,11573153.74,7177019.566,15819970.36,1605689.198,13665079.75,6012898.387,18312049.81,8218824.164,6908483.215,6041624.819,6460777.771,3625962.129
204.135/3.1,540393.7403,1085611.134,3765243.683,2221480.101,527248.7276,5159690.929,2140805.038,2640682.688,2307711.147,734451.4314,1350233.516,2682183.037,687819.8991,686830.9997,1422393.502,10077713.17,7434472.761,15750037.61,772521.1619,4285702.293,9066341.805,1729200.654,18987483.06,3584576.79,13617342.6,9751914.558,4401938.678,1759890.583,14201738.63,4359777.521
102.536/2.1,9222999.584,15614121.24,8528308.081,17738541.52,8380522.983,7018523.255,25945340.34,8204733.843,12677133.23,5052419.866,11226709.5,4726773.068,9209808.608,7745581.132,8442145.264,2088891.891,2736107.96,2006752.298,471165.9636,464183.4903,21919367.83,2691752.66,2235657.241,3040370.197,2360924.871,1003422.338,6665742.622,1360113.179,332160.8544,929732.5344
230.99/3.1,540967.1236,15708337.33,7424547.204,26837510.01,21521080.2,31240525.7,61936910.57,16449225.83,6156430.737,14237150.98,49867533.88,16274311.86,42919278.9,8584083.046,25805824.34,497779.8179,5342765.405,3551078.807,963462.0946,1537777.345,22219153.34,7218024.859,3210984.742,3377628.887,5145514.945,8376981.807,2273625.351,636839.8776,534270.9701,2603879.989
193.974/2.2,964746.2183,1700416.299,1198681.64,3079460.639,1393218.882,484538.1785,1195236.134,417954.3467,2539289.443,582266.7472,715372.0952,1260547.922,861425.594,1308054.141,640187.6617,322588.9941,483411.7353,319339.0092,314018.5948,273026.6247,537571.7863,241700.0901,527638.0484,398451.7472,432689.6892,391920.856,1116454.73,520104.7115,228550.4586,214533.83
102.034/2.1,104472058.1,178396909.4,96880059.21,203629628.6,95387734.09,81904163.12,291737214.5,96978420.26,141185389.8,59630810.92,130449322.4,54081342.37,104375178,88260665.41,95770805.57,21252588.23,32491939.87,26453873.49,6843500.14,5597454.574,253358853.7,31911834.79,26969355.08,35660499.96,29358578.91,12684033.73,76337237.47,15581454.37,4581973.86,12304070.78
270.08/13.4,236045.8981,278156.8486,81360.9154,244565.2528,210948.7474,2102239.254,907437.5387,715869.0428,55566.64802,409402.224,586052.0338,402683.2033,285326.7317,193276.7294,218075.6603,1969660.501,2350212.921,684385.4478,952898.3103,3116213.324,1364680.082,321400.5765,4027546.625,775601.3447,1052589.352,2041948.675,443624.7408,889370.6051,2617626.275,1636704.481
