Compound,Group,Lactic acid,2-Hydroxy-2-methylbutyric acid,3-hydroxybutyric acid,3-hydroxy-2-methylbutyric,3-Hydroxyisovaleric acid,2-ethyl-3-hydroxypropionic,Ethylmalonic acid,Succinic acid,2-Methylsuccinic acid,5-hydroxyhexanoic,Glutaric acid,"2,4-dihydroxybutanoic",3-methylglutaric,3-Methyladipic acid,Sumiki's acid,Oxoglutaric acid,p-Hydroxyphenylacetic acid,Suberic acid,3-(3-Hydroxyphenyl)propanoic acid,Homovanillic acid,4-hydroxymandelic,Citric Acid,HPHPA,Vanillylmandelic acid,Hydroxyphenyllactic acid,1H-Indole-3-acetic acid
E221.mzXML,EoE,234.23,138.19,32.12,108.25,116.13,29.62,21.47,836.1,75.06,67.23,,,20.65,6.17,,49.35,117.3,4.9,,11.25,,789.74,22.27,53.53,1.33,84.45
E245.mzXML,EoE,241.82,92.42,,,41.27,,,432.52,8.49,,27.51,,23.37,,,15.5,181.31,3.75,,12.84,,500.73,11.37,50.44,,33.87
E260B.mzXML,EoE,1580.36,,6.35,130.69,254.07,32.12,,347.13,21.7,,,454.49,49.53,2.12,,103.44,144.88,5.37,,5.58,,663.93,20.48,64.98,2.1,
E281.mzXML,EoE,199.52,39.36,32.93,81.39,44.89,17.95,,,28.28,14.83,,136.08,20.98,,,18.37,197.02,4.97,,5.55,215.35,989.46,8.85,47.26,1.2,83.69
E297.mzXML,EoE,259.83,,101.39,121.2,43.47,105.95,2.36,626.13,19.45,42.1,40.01,93.07,25.4,13.33,,63.49,140.28,15.92,,7.01,,861.7,13.8,,,34.61
E308.mzXML,EoE,326.43,221.35,19.26,461.55,460.93,91.06,3.36,89.89,39.44,16.88,,472.45,26.4,,17.95,96.88,211.49,6.02,,8.34,114.16,578.58,7.09,71.09,3.33,24.26
E308C.mzXML,EoE,188.12,243.21,7.51,107.74,292.48,34.31,,507.62,37.5,,,,27.62,9.84,6.16,38.91,215.71,4.92,14.5,42.63,,864.82,136.14,59.84,1.88,
E326.mzXML,EoE,329.64,113.72,10.97,83.33,339.13,28.74,,390.21,39.16,27.13,,534.35,26.89,14.19,,114.51,153.87,7.03,,16.48,,,29.49,88.07,1.9,
E332.mzXML,EoE,249.18,,401.88,130.52,193.84,31.06,,276.86,11.48,13.04,80.54,171.74,19.13,,113.62,78.87,234.37,4.86,12.23,7.9,,1247.94,36.73,46.12,2.28,86.3
E337.mzXML,EoE,561.08,277.52,200.71,316.82,2006.81,242.71,,1106.83,97.95,34.16,63.27,,29.92,16.4,177.66,168.01,389.69,9.73,,21.07,,1174.74,187.66,105.97,2.83,70.87
E337B.mzXML,EoE,225.61,151.8,,98.17,192.84,66.8,,624.71,17.12,10.47,35.18,,22.88,4.26,,24.61,138.94,5.03,11.4,5.59,,837.87,119.81,51.94,,93.94
E338.mzXML,EoE,180.04,196.74,,160.92,224.07,47.15,,403.08,64.44,87.58,,165.09,23.67,10.34,,85.62,173.49,6.57,,16.01,,1480.01,52.4,76.43,1.6,161.06
